lakeid,metric,sampledate,year,daynum
SP,secchi_springmax,1995-05-15,1995,135
SP,secchi_springmax,1996-06-26,1996,178
SP,secchi_springmax,1997-06-04,1997,155
SP,secchi_springmax,1998-06-29,1998,180
SP,secchi_springmax,1999-07-01,1999,182
SP,secchi_springmax,2000-05-17,2000,138
SP,secchi_springmax,2001-07-09,2001,190
SP,secchi_springmax,2002-07-17,2002,198
SP,secchi_springmax,2003-07-07,2003,188
SP,secchi_springmax,2004-06-07,2004,159
SP,secchi_springmax,2005-06-13,2005,164
SP,secchi_springmax,2006-07-12,2006,193
SP,secchi_springmax,2007-06-06,2007,157
SP,secchi_springmax,2008-06-18,2008,170
SP,secchi_springmax,2009-06-25,2009,176
SP,secchi_springmax,2010-07-06,2010,187
SP,secchi_springmax,2011-07-11,2011,192
SP,secchi_springmax,2012-07-12,2012,194
SP,secchi_springmax,2013-06-25,2013,176
SP,secchi_springmax,2014-06-17,2014,168
SP,secchi_springmax,2015-05-18,2015,138
SP,secchi_springmax,2016-06-20,2016,172
SP,secchi_springmax,2017-05-17,2017,137
SP,secchi_springmax,2018-06-11,2018,162
SP,secchi_springmax,2019-06-04,2019,155
TB,secchi_springmax,1982-05-12,1982,132
TB,secchi_springmax,1983-07-05,1983,186
TB,secchi_springmax,1984-07-17,1984,199
TB,secchi_springmax,1985-05-31,1985,151
TB,secchi_springmax,1986-07-01,1986,182
TB,secchi_springmax,1987-07-16,1987,197
TB,secchi_springmax,1988-06-20,1988,172
TB,secchi_springmax,1989-05-29,1989,149
TB,secchi_springmax,1990-07-12,1990,193
