lakeid,metric,sampledate,year,daynum
CR,totpuf_hypoMin,1987-04-21,1987,111
CR,totpuf_hypoMin,1988-04-26,1988,117
CR,totpuf_hypoMin,1989-11-15,1989,319
CR,totpuf_hypoMin,1990-05-03,1990,123
CR,totpuf_hypoMin,1991-10-31,1991,304
CR,totpuf_hypoMin,1992-10-20,1992,294
CR,totpuf_hypoMin,1993-05-05,1993,125
CR,totpuf_hypoMin,1994-06-30,1994,181
CR,totpuf_hypoMin,1995-11-14,1995,318
CR,totpuf_hypoMin,1996-05-13,1996,134
CR,totpuf_hypoMin,1997-11-10,1997,314
CR,totpuf_hypoMin,1998-04-22,1998,112
CR,totpuf_hypoMin,1999-05-05,1999,125
CR,totpuf_hypoMin,2000-04-04,2000,95
CR,totpuf_hypoMin,2001-05-03,2001,123
CR,totpuf_hypoMin,2002-11-05,2002,309
CR,totpuf_hypoMin,2003-11-14,2003,318
CR,totpuf_hypoMin,2004-11-09,2004,314
CR,totpuf_hypoMin,2005-11-15,2005,319
CR,totpuf_hypoMin,2006-04-19,2006,109
CR,totpuf_hypoMin,2007-11-16,2007,320
CR,totpuf_hypoMin,2008-11-12,2008,317
CR,totpuf_hypoMin,2009-05-29,2009,149
CR,totpuf_hypoMin,2010-11-10,2010,314
CR,totpuf_hypoMin,2014-11-13,2014,317
CR,totpuf_hypoMin,2015-05-20,2015,140
CR,totpuf_hypoMin,2016-07-19,2016,201
CR,totpuf_hypoMin,2017-11-13,2017,317
CR,totpuf_hypoMin,2018-11-11,2018,315
FI,totpuf_hypoMin,1996-06-10,1996,162
FI,totpuf_hypoMin,1997-07-08,1997,189
FI,totpuf_hypoMin,1998-06-10,1998,161
FI,totpuf_hypoMin,1999-05-11,1999,131
FI,totpuf_hypoMin,2000-11-28,2000,333
FI,totpuf_hypoMin,2001-05-08,2001,128
FI,totpuf_hypoMin,2002-05-22,2002,142
FI,totpuf_hypoMin,2003-05-14,2003,134
FI,totpuf_hypoMin,2004-11-10,2004,315
FI,totpuf_hypoMin,2005-05-13,2005,133
FI,totpuf_hypoMin,2006-04-21,2006,111
FI,totpuf_hypoMin,2007-04-20,2007,110
FI,totpuf_hypoMin,2008-04-18,2008,109
FI,totpuf_hypoMin,2009-04-22,2009,112
FI,totpuf_hypoMin,2010-04-16,2010,106
FI,totpuf_hypoMin,2011-04-25,2011,115
FI,totpuf_hypoMin,2012-04-19,2012,110
FI,totpuf_hypoMin,2013-05-08,2013,128
FI,totpuf_hypoMin,2014-05-13,2014,133
FI,totpuf_hypoMin,2015-05-12,2015,132
FI,totpuf_hypoMin,2016-11-07,2016,312
FI,totpuf_hypoMin,2017-04-20,2017,110
FI,totpuf_hypoMin,2018-04-25,2018,115
ME,totpuf_hypoMin,1995-05-09,1995,129
ME,totpuf_hypoMin,1996-11-08,1996,313
ME,totpuf_hypoMin,1997-11-30,1997,334
ME,totpuf_hypoMin,1998-04-24,1998,114
ME,totpuf_hypoMin,1999-04-12,1999,102
ME,totpuf_hypoMin,2000-05-09,2000,130
ME,totpuf_hypoMin,2001-04-23,2001,113
ME,totpuf_hypoMin,2002-04-24,2002,114
ME,totpuf_hypoMin,2003-05-13,2003,133
ME,totpuf_hypoMin,2004-05-10,2004,131
