lakeid,metric,sampledate,year,daynum
AL,iceoff,1995-04-22,1995,112
AL,iceoff,1996-05-08,1996,129
AL,iceoff,1997-04-26,1997,116
AL,iceoff,1998-04-08,1998,98
AL,iceoff,1999-04-12,1999,102
AL,iceoff,2000-03-24,2000,84
AL,iceoff,2001-04-20,2001,110
AL,iceoff,2002-04-17,2002,107
AL,iceoff,2003-04-22,2003,112
AL,iceoff,2004-04-16,2004,107
AL,iceoff,2005-04-11,2005,101
AL,iceoff,2006-04-13,2006,103
AL,iceoff,2007-04-09,2007,99
AL,iceoff,2008-04-25,2008,116
AL,iceoff,2009-04-17,2009,107
AL,iceoff,2010-03-29,2010,88
AL,iceoff,2011-04-25,2011,115
AL,iceoff,2012-03-19,2012,79
AL,iceoff,2013-05-08,2013,128
AL,iceoff,2014-05-06,2014,126
AL,iceoff,2015-04-10,2015,100
AL,iceoff,2016-04-16,2016,107
AL,iceoff,2017-04-07,2017,97
AL,iceoff,2018-05-04,2018,124
AL,iceoff,2019-04-23,2019,113
BM,iceoff,NA,1981,NA
BM,iceoff,1982-04-30,1982,120
BM,iceoff,1983-04-29,1983,119
BM,iceoff,1984-04-19,1984,110
BM,iceoff,1985-04-22,1985,112
BM,iceoff,1986-04-12,1986,102
BM,iceoff,1987-04-10,1987,100
BM,iceoff,1988-04-15,1988,106
BM,iceoff,1989-04-27,1989,117
BM,iceoff,1990-04-18,1990,108
BM,iceoff,1991-04-19,1991,109
BM,iceoff,1992-04-30,1992,121
BM,iceoff,1993-04-30,1993,120
BM,iceoff,1994-04-18,1994,108
BM,iceoff,1995-04-22,1995,112
BM,iceoff,1996-05-12,1996,133
BM,iceoff,1997-04-28,1997,118
BM,iceoff,1998-04-08,1998,98
BM,iceoff,1999-04-15,1999,105
BM,iceoff,2000-04-02,2000,93
BM,iceoff,2001-04-20,2001,110
BM,iceoff,2002-04-17,2002,107
BM,iceoff,2003-04-25,2003,115
BM,iceoff,2004-04-21,2004,112
BM,iceoff,2005-04-15,2005,105
BM,iceoff,2006-04-14,2006,104
BM,iceoff,2007-04-19,2007,109
BM,iceoff,2008-04-30,2008,121
BM,iceoff,2009-04-17,2009,107
BM,iceoff,2010-03-29,2010,88
BM,iceoff,2011-04-27,2011,117
BM,iceoff,2012-03-19,2012,79
BM,iceoff,2013-05-09,2013,129
BM,iceoff,2014-05-08,2014,128
BM,iceoff,2015-04-14,2015,104
BM,iceoff,2016-04-18,2016,109
BM,iceoff,2017-04-07,2017,97
BM,iceoff,2018-05-04,2018,124
BM,iceoff,2019-04-26,2019,116
CB,iceoff,NA,1981,NA
CB,iceoff,1982-04-28,1982,118
CB,iceoff,1983-04-26,1983,116
CB,iceoff,1984-04-09,1984,100
CB,iceoff,1985-04-22,1985,112
CB,iceoff,1986-04-11,1986,101
CB,iceoff,1987-04-09,1987,99
CB,iceoff,NA,1988,NA
CB,iceoff,1989-04-21,1989,111
CB,iceoff,1990-04-13,1990,103
CB,iceoff,1991-04-12,1991,102
CB,iceoff,1992-04-24,1992,115
CB,iceoff,1993-04-26,1993,116
CB,iceoff,1994-04-16,1994,106
CB,iceoff,1995-04-14,1995,104
CB,iceoff,1996-05-05,1996,126
CB,iceoff,1997-04-25,1997,115
CB,iceoff,1998-04-06,1998,96
CB,iceoff,1999-04-09,1999,99
CB,iceoff,2000-03-24,2000,84
CB,iceoff,2001-04-18,2001,108
CB,iceoff,2002-04-17,2002,107
CB,iceoff,2003-04-14,2003,104
CB,iceoff,2004-04-16,2004,107
CB,iceoff,2005-04-11,2005,101
CB,iceoff,2006-04-11,2006,101
CB,iceoff,2007-04-09,2007,99
CB,iceoff,2008-04-23,2008,114
CB,iceoff,2009-04-17,2009,107
CB,iceoff,2010-03-26,2010,85
CB,iceoff,2011-04-23,2011,113
CB,iceoff,2012-03-19,2012,79
CB,iceoff,2013-05-06,2013,126
CB,iceoff,2014-05-05,2014,125
CB,iceoff,2015-04-10,2015,100
CB,iceoff,2016-04-14,2016,105
CB,iceoff,2017-04-07,2017,97
CB,iceoff,2018-05-03,2018,123
CB,iceoff,2019-04-23,2019,113
CR,iceoff,NA,1981,NA
CR,iceoff,1982-05-01,1982,121
CR,iceoff,1983-04-28,1983,118
CR,iceoff,1984-04-19,1984,110
CR,iceoff,1985-04-22,1985,112
CR,iceoff,1986-04-12,1986,102
CR,iceoff,1987-04-08,1987,98
CR,iceoff,1988-04-14,1988,105
CR,iceoff,1989-04-26,1989,116
CR,iceoff,1990-04-13,1990,103
CR,iceoff,1991-04-17,1991,107
CR,iceoff,1992-04-29,1992,120
CR,iceoff,1993-04-30,1993,120
CR,iceoff,1994-04-18,1994,108
CR,iceoff,1995-04-14,1995,104
CR,iceoff,1996-05-10,1996,131
CR,iceoff,1997-04-26,1997,116
CR,iceoff,1998-04-07,1998,97
CR,iceoff,1999-04-14,1999,104
CR,iceoff,2000-03-30,2000,90
CR,iceoff,2001-04-20,2001,110
CR,iceoff,2002-04-17,2002,107
CR,iceoff,2003-04-23,2003,113
CR,iceoff,2004-04-16,2004,107
CR,iceoff,2005-04-13,2005,103
CR,iceoff,2006-04-12,2006,102
CR,iceoff,2007-04-09,2007,99
CR,iceoff,2008-04-29,2008,120
CR,iceoff,2009-04-17,2009,107
CR,iceoff,2010-03-26,2010,85
CR,iceoff,2011-04-27,2011,117
CR,iceoff,2012-03-19,2012,79
CR,iceoff,2013-05-07,2013,127
CR,iceoff,2014-05-06,2014,126
CR,iceoff,2015-04-13,2015,103
CR,iceoff,2016-04-16,2016,107
CR,iceoff,2017-04-07,2017,97
CR,iceoff,2018-05-06,2018,126
CR,iceoff,2019-04-25,2019,115
SP,iceoff,NA,1981,NA
SP,iceoff,1982-05-03,1982,123
SP,iceoff,1983-04-29,1983,119
SP,iceoff,1984-04-20,1984,111
SP,iceoff,1985-04-21,1985,111
SP,iceoff,1986-04-11,1986,101
SP,iceoff,1987-04-10,1987,100
SP,iceoff,1988-04-13,1988,104
SP,iceoff,1989-04-24,1989,114
SP,iceoff,1990-04-16,1990,106
SP,iceoff,1991-04-19,1991,109
SP,iceoff,1992-04-30,1992,121
SP,iceoff,1993-04-30,1993,120
SP,iceoff,1994-04-21,1994,111
SP,iceoff,1995-04-24,1995,114
SP,iceoff,1996-05-10,1996,131
SP,iceoff,1997-04-28,1997,118
SP,iceoff,1998-04-08,1998,98
SP,iceoff,1999-04-15,1999,105
SP,iceoff,2000-04-02,2000,93
SP,iceoff,2001-04-22,2001,112
SP,iceoff,2002-04-17,2002,107
SP,iceoff,2003-04-24,2003,114
SP,iceoff,2004-04-16,2004,107
SP,iceoff,2005-04-14,2005,104
SP,iceoff,2006-04-13,2006,103
SP,iceoff,2007-04-13,2007,103
SP,iceoff,2008-05-01,2008,122
SP,iceoff,2009-04-22,2009,112
SP,iceoff,2010-03-30,2010,89
SP,iceoff,2011-04-25,2011,115
SP,iceoff,2012-03-19,2012,79
SP,iceoff,2013-05-09,2013,129
SP,iceoff,2014-05-08,2014,128
SP,iceoff,2015-04-14,2015,104
SP,iceoff,2016-04-16,2016,107
SP,iceoff,2017-04-07,2017,97
SP,iceoff,2018-05-04,2018,124
SP,iceoff,2019-04-30,2019,120
TB,iceoff,NA,1981,NA
TB,iceoff,1982-05-01,1982,121
TB,iceoff,1983-04-27,1983,117
TB,iceoff,1984-04-18,1984,109
TB,iceoff,1985-04-22,1985,112
TB,iceoff,1986-04-10,1986,100
TB,iceoff,1987-04-10,1987,100
TB,iceoff,1988-04-13,1988,104
TB,iceoff,1989-04-24,1989,114
TB,iceoff,1990-04-20,1990,110
TB,iceoff,1991-04-18,1991,108
TB,iceoff,1992-04-28,1992,119
TB,iceoff,1993-04-26,1993,116
TB,iceoff,1994-04-18,1994,108
TB,iceoff,1995-04-25,1995,115
TB,iceoff,1996-05-08,1996,129
TB,iceoff,1997-04-28,1997,118
TB,iceoff,1998-04-10,1998,100
TB,iceoff,1999-04-14,1999,104
TB,iceoff,2000-04-03,2000,94
TB,iceoff,2001-04-20,2001,110
TB,iceoff,2002-04-22,2002,112
TB,iceoff,2003-04-22,2003,112
TB,iceoff,2004-04-19,2004,110
TB,iceoff,2005-04-13,2005,103
TB,iceoff,2006-04-12,2006,102
TB,iceoff,2007-04-16,2007,106
TB,iceoff,2008-04-29,2008,120
TB,iceoff,2009-04-20,2009,110
TB,iceoff,2010-03-29,2010,88
TB,iceoff,2011-04-29,2011,119
TB,iceoff,2012-03-23,2012,83
TB,iceoff,2013-05-07,2013,127
TB,iceoff,2014-05-08,2014,128
TB,iceoff,2015-04-10,2015,100
TB,iceoff,2016-04-16,2016,107
TB,iceoff,2017-04-14,2017,104
TB,iceoff,2018-05-04,2018,124
TB,iceoff,2019-04-13,2019,103
TR,iceoff,NA,1981,NA
TR,iceoff,1982-05-03,1982,123
TR,iceoff,1983-05-01,1983,121
TR,iceoff,1984-04-25,1984,116
TR,iceoff,1985-04-23,1985,113
TR,iceoff,1986-04-14,1986,104
TR,iceoff,1987-04-15,1987,105
TR,iceoff,1988-04-26,1988,117
TR,iceoff,1989-05-02,1989,122
TR,iceoff,1990-04-20,1990,110
TR,iceoff,1991-04-25,1991,115
TR,iceoff,1992-04-29,1992,120
TR,iceoff,1993-05-06,1993,126
TR,iceoff,1994-04-22,1994,112
TR,iceoff,1995-04-30,1995,120
TR,iceoff,1996-05-16,1996,137
TR,iceoff,1997-04-30,1997,120
TR,iceoff,1998-04-10,1998,100
TR,iceoff,1999-04-22,1999,112
TR,iceoff,2000-04-05,2000,96
TR,iceoff,2001-04-22,2001,112
TR,iceoff,2002-04-23,2002,113
TR,iceoff,2003-04-27,2003,117
TR,iceoff,2004-04-19,2004,110
TR,iceoff,2005-04-15,2005,105
TR,iceoff,2006-04-14,2006,104
TR,iceoff,2007-04-21,2007,111
TR,iceoff,2008-05-02,2008,123
TR,iceoff,2009-04-26,2009,116
TR,iceoff,2010-04-01,2010,91
TR,iceoff,2011-04-29,2011,119
TR,iceoff,2012-03-19,2012,79
TR,iceoff,2013-05-13,2013,133
TR,iceoff,2014-05-09,2014,129
TR,iceoff,2015-04-17,2015,107
TR,iceoff,2016-04-18,2016,109
TR,iceoff,2017-04-14,2017,104
TR,iceoff,2018-05-08,2018,128
TR,iceoff,2019-05-06,2019,126
ME,iceoff,1979-04-07,1979,97
ME,iceoff,1980-03-22,1980,82
ME,iceoff,1981-04-03,1981,93
ME,iceoff,1982-03-08,1982,67
ME,iceoff,1983-04-09,1983,99
ME,iceoff,1984-03-26,1984,86
ME,iceoff,1985-03-31,1985,90
ME,iceoff,1986-03-12,1986,71
ME,iceoff,1987-03-30,1987,89
ME,iceoff,1988-04-04,1988,95
ME,iceoff,1989-03-15,1989,74
ME,iceoff,1990-03-24,1990,83
ME,iceoff,1991-03-27,1991,86
ME,iceoff,1992-04-10,1992,101
ME,iceoff,1993-03-31,1993,90
ME,iceoff,1994-03-21,1994,80
ME,iceoff,1995-04-08,1995,98
ME,iceoff,1996-03-31,1996,91
ME,iceoff,1997-02-27,1997,58
ME,iceoff,1998-03-21,1998,80
ME,iceoff,1999-03-08,1999,67
ME,iceoff,2000-04-06,2000,97
ME,iceoff,2001-03-15,2001,74
ME,iceoff,2002-04-03,2002,93
ME,iceoff,2003-03-28,2003,87
ME,iceoff,2004-04-04,2004,95
ME,iceoff,2005-03-24,2005,83
